No;Unit Kerja;Kecamatan;Dr Spesialis;Dokter;Dokter Gigi;Dokter Gigi Spesialis;Tenaga Keperawatan;Tenaga Kebidanan;Tenaga Kesehatan Masyarakat;Tenaga Kesehatan Lingkungan;Tenaga Gizi;Ahli Teknologi Laboratorium Medik;Tenaga Teknik Biomedika Lainnya;Keterapian Fisik;Keteknisian Medis;Tenaga Teknis Kefarmasian;Apoteker;Pejabat Struktural;Tenaga Dukungan Manajemen;Hipertensi;Diabetes Mellitus;TBC;ISPA;Stroke;Pneumonia;Malaria;Demam Berdarah;Hepatitis;Kanker;Gagal Ginjal;Asma;Osteoarthritis
14;Puskesmas Bojong Rawalumbu;Bekasi Timur;-;3;3;-;6;9;1;1;1;2;-;1;-;2;-;23;16;5;7;6;15;23;0;9;3;6;4;36;46;27
15;Puskesmas Pengasinan;Bekasi Selatan;-;2;2;-;2;12;3;1;1;1;-;-;1;1;-;17;14;5;7;0;13;20;5;8;3;1;25;26;4;41
16;Puskesmas Bojong Menteng;Bekasi Selatan;-;2;2;-;3;8;1;1;-;-;-;-;1;-;1;16;13;5;6;6;12;19;5;7;2;9;21;14;15;39
17;Puskesmas Karang Kitri;Bekasi Selatan;-;4;2;-;9;16;2;1;1;2;-;2;2;1;-;19;19;0;8;5;19;26;0;11;4;2;5;67;8;52
18;Puskesmas Bekasi Jaya;Bekasi Selatan;-;2;2;-;4;13;1;1;2;1;1;-;1;1;-;15;14;0;6;8;13;20;0;7;3;0;3;14;26;40
19;Puskesmas Aren Jaya;Bekasi Utara;-;2;1;-;6;10;1;1;1;2;-;2;3;1;-;21;15;0;7;2;14;21;0;8;3;2;5;26;42;19
20;Puskesmas Duren Jaya;Bekasi Utara;-;3;3;-;7;10;3;1;1;2;-;1;3;1;-;13;16;0;7;5;15;22;0;9;3;5;4;36;27;45
21;Puskesmas Pekayon Jaya;Bekasi Utara;-;4;3;-;9;15;1;-;1;1;1;1;1;1;-;19;18;5;8;2;18;25;5;10;4;1;5;73;8;51
22;Puskesmas Jaka Mulya;Bekasi Barat;-;2;1;-;9;7;1;1;2;1;-;-;1;1;-;14;13;0;6;5;12;19;0;7;2;8;21;14;15;38
23;Puskesmas Jaka Setia;Medan Satria;-;6;2;-;4;7;1;1;1;-;-;-;1;1;1;14;17;5;7;8;16;24;5;9;3;9;21;14;16;49
24;Puskesmas Marga Jaya;Bekasi Barat;-;2;1;-;7;10;1;1;1;-;-;1;1;1;-;9;12;5;6;2;11;18;5;6;2;6;21;14;15;36
25;Puskesmas Perumnas II;Bekasi Barat;-;4;2;-;5;7;1;1;1;-;1;-;1;-;1;11;15;0;7;0;14;20;0;8;3;0;3;12;26;40
26;Puskesmas Seroja;Bekasi Barat;-;3;3;-;5;11;1;1;1;2;-;-;1;-;-;13;14;0;6;8;13;19;5;7;2;9;21;14;15;39
27;Puskesmas Perwira;Bekasi Selatan;-;2;1;-;7;11;1;1;1;1;1;1;1;1;-;12;16;0;7;5;15;22;0;9;3;5;4;36;27;45
28;Puskesmas Kali Abang Tengah;Medan Satria;-;4;1;-;6;13;2;1;1;1;1;1;1;1;1;14;17;0;7;8;16;23;0;9;3;8;21;14;16;48
29;Puskesmas Marga Mulya;Medan Satria;-;3;1;-;5;10;1;1;1;-;-;2;2;-;-;12;15;5;7;2;14;21;5;8;3;3;12;25;26;43
30;Puskesmas Teluk Pucung;Bantargebang;-;4;2;-;5;11;-;1;1;1;-;1;1;-;-;14;16;5;7;6;15;22;5;9;3;6;20;14;15;46
31;Puskesmas Harapan Baru;Bantargebang;-;2;3;-;7;8;1;1;1;1;-;1;1;-;-;12;13;5;6;6;12;19;5;7;2;9;21;14;15;39
32;Puskesmas Rawa Tembaga;Bantargebang;-;3;2;-;5;6;1;2;1;-;1;2;-;-;-;15;14;5;7;0;13;20;5;8;3;1;25;26;4;41
33;Puskesmas Bintara Jaya;Jatisampurna;-;3;1;-;4;9;2;1;2;1;-;1;2;-;-;8;15;0;7;2;14;20;5;8;3;2;5;26;42;19
34;Puskesmas Bintara;Mustikajaya;-;3;2;-;5;7;1;1;-;-;-;1;1;-;-;13;16;0;7;5;15;21;5;9;3;5;4;36;27;45
35;Puskesmas Kranji;Mustikajaya;-;2;2;-;10;12;1;1;2;-;-;2;2;-;-;13;18;0;8;0;17;24;0;10;3;8;4;73;8;50
36;Puskesmas Kotabaru;Mustikajaya;-;4;2;-;6;9;3;2;2;-;-;-;2;1;-;10;17;0;7;8;16;23;5;9;3;7;4;36;27;48
37;Puskesmas Pejuang;Pondok Gede;-;3;3;-;6;12;1;1;1;1;-;1;2;2;-;22;19;0;8;5;19;26;0;11;4;2;5;67;8;52
38;Puskesmas Harapan Mulya;Pondok Melati;-;2;1;-;5;10;-;2;1;-;-;-;1;-;-;15;14;0;6;8;13;20;0;7;3;0;3;14;26;40
39;Puskesmas Medan Satria;Jatisampurna;-;2;2;-;2;12;3;1;1;1;-;1;1;2;-;15;15;0;7;2;14;21;0;8;3;2;5;26;42;19
40;Puskesmas Kalibaru;Jatisampurna;-;2;-;-;4;9;-;1;1;1;-;1;1;1;-;10;13;0;6;5;12;19;0;7;2;8;21;14;15;38
41;Puskesmas Bantargebang;Bekasi Selatan;-;4;1;-;9;10;1;1;1;1;1;1;1;2;1;21;18;0;8;0;17;25;0;10;4;0;5;73;8;50
42;Puskesmas Cikiwul;Jatiasih;-;1;1;-;2;12;2;1;-;-;-;-;1;1;-;11;10;0;5;0;8;15;0;5;2;0;18;31;4;28
43;Puskesmas Ciketing Udik;Rawalumbu;-;1;1;-;5;9;1;1;1;-;-;-;1;1;-;10;11;0;5;5;9;16;0;5;2;2;19;31;4;30
44;Puskesmas Sumur Batu;Rawalumbu;-;2;1;-;6;11;1;1;2;1;-;1;2;1;-;9;12;0;6;0;10;17;0;6;2;5;21;14;15;35
45;Puskesmas Mustika Jaya;Bekasi Timur;-;6;1;-;9;13;2;1;2;-;-;2;3;1;-;15;17;0;7;8;16;24;0;9;3;8;21;14;16;48
46;Puskesmas Mustika Sari;Bekasi Timur;-;4;1;-;7;13;1;-;-;-;-;1;1;-;-;4;15;0;7;0;14;21;0;8;3;0;3;12;26;40
47;Puskesmas Cimuning;Bekasi Timur;-;3;1;-;10;12;1;-;-;1;1;2;-;-;-;10;16;0;7;5;15;22;0;9;3;5;4;36;27;45
48;Puskesmas Padurenan;Bekasi Timur;-;3;1;-;8;10;1;1;1;1;-;1;1;1;-;10;14;0;6;8;13;20;0;7;3;0;3;14;26;40
49;RSUD Pondok Gede;Bekasi Timur;1;1;1;2;4;-;5;12;9;4;1;2;1;2;1;4;15;5;35;109;500;200;200;300;15;40;51;83;7;50
50;RS Masmitra;Bekasi Timur;2;1;2;2;3;2;10;9;2;3;1;1;2;1;2;15;10;9;9;0;13;46;0;25;2;5;35;61;21;210
51;RS Karunia Kasih;Bekasi Timur;2;1;7;2;4;5;9;20;-;-;1;6;1;1;2;31;23;12;31;23;-;28;450;180;18;280;12;35;49;73
52;RS Helsa Jati Rahayu;Bekasi Timur;9;8;-;-;5;0;12;-;-;2;1;6;2;6;3;-;54;5;66;400;160;160;250;10;3;0;38;62;54;0
53;RSUD Jati Sampurna;Bekasi Timur;8;12;5;-;7;12;5;3;1;2;1;0;1;2;4;6;24;24;9;455;0;220;220;320;18;45;61;19;48;55
54;RS Jati Sampurna;Bekasi Selatan;2;1;1;9;5;18;2;1;3;-;1;2;1;1;1;14;63;9;45;80;230;230;330;19;48;61;19;48;58;33
55;RS Permata Cibubur;Bekasi Timur;2;9;2;9;2;4;12;6;3;1;-;14;2;1;2;47;0;28;28;400;250;250;400;25;60;81;51;25;10;70
56;RS Mitra Keluarga Cibubur;Bekasi Selatan;2;0;12;3;5;12;8;9;-;17;19;19;8;7;3;8;15;36;80;270;270;390;240;58;81;411;59;68;39;78
57;RS Kartika Husada;Bekasi Selatan;2;7;1;7;1;-;5;5;1;5;-;-;-;-;1;5;14;8;19;0;19;29;130;38;41;0;83;74;8;48
58;RS Mitra Keluarga Pratama;Bekasi Utara;2;4;18;5;3;12;7;8;-;6;14;14;6;4;1;18;69;36;50;260;260;380;230;55;71;310;49;65;37;75
59;RS Rawa Lumbu;Bekasi Utara;2;4;10;2;-;6;9;1;1;1;3;3;5;2;9;43;46;5;20;210;210;310;160;42;51;83;75;23;10;83
60;RS St. Elisabeth;Bekasi Utara;2;8;17;4;2;8;5;8;-;15;7;8;5;1;2;51;118;63;0;250;250;360;210;52;71;210;49;63;36;73
61;RS Siloam Bekasi Sepanjang;Bekasi Utara;2;0;21;2;1;10;2;1;-;11;8;8;3;-;9;53;110;60;0;240;240;350;200;50;61;290;48;60;34;70
62;RS Mitra Keluarga Bekasi;Bekasi Utara;2;7;19;4;7;24;8;15;-;19;17;17;7;3;9;12;26;17;50;300;300;450;280;65;91;81;46;12;75;45
63;RS Primaya Bekasi Timur;Medan Satria;5;6;2;2;5;31;4;8;9;-;4;23;5;3;7;21;65;16;80;320;320;480;300;70;10;20;15;71;38;48
64;RS Bhakti Kartini;Bekasi Timur;1;5;16;3;18;9;20;-;2;2;7;7;6;8;8;10;12;14;80;190;190;290;130;38;41;0;83;74;8;48
65;RS Mekar Sari;Jatiasih;2;3;19;2;-;10;0;20;-;14;10;15;7;9;10;25;50;22;22;330;180;450;610;94;85;532;65;66;-;-
66;RS Bella;Bantargebang;2;0;16;3;-;8;2;9;-;11;14;14;7;8;2;41;27;85;0;200;200;300;150;40;51;83;75;30;60;67
67;RS Graha Juanda;Mustikajaya;1;5;16;3;14;4;15;-;-;4;5;15;2;2;3;4;65;4;0;160;160;240;100;30;38;62;54;0;25;50
68;RS Islam Dr. Subki Abdulkadir;Bekasi Timur;1;0;10;1;-;15;5;-;1;1;2;5;5;1;1;2;7;30;0;120;120;180;70;25;26;42;43;0;20;40
69;RS Siloam Sentosa;Pondok Gede;2;1;14;3;-;6;7;5;-;18;18;21;2;4;9;0;55;22;0;220;220;330;180;45;61;19;48;55;32;65
70;RS Juwita;Pondok Gede;9;3;-;1;1;2;1;1;-;-;-;-;2;-;1;1;4;23;50;140;140;210;90;28;37;52;53;52;24;57
71;RS Siloam Bekasi Timur;Jatisampurna;2;1;20;2;3;7;5;10;-;12;18;32;5;5;10;71;116;60;0;240;240;360;200;50;61;290;48;60;34;70
72;RSUD Dr. Chasbullah;Jatisampurna;4;2;39;3;5;6;10;9;3;7;5;21;30;6;3;15;37;40;0;1000;400;400;600;350;80;120;25;20;81;51
73;RS Mitra Keluarga Bekasi;Rawalumbu;9;1;29;5;7;36;5;19;1;2;10;39;52;6;8;54;253;24;0;900;360;360;540;320;75;102;21;87;14;90
74;RS Hermina;Bekasi Timur;6;8;4;6;1;4;3;12;8;3;1;35;49;4;3;10;74;61;85;340;340;510;300;70;92;20;17;71;38;55
75;RS Primaya Bekasi Barat;Bekasi Selatan;6;7;30;29;30;41;5;-;-;24;26;52;11;2;2;91;242;82;0;330;330;490;290;68;91;91;66;12;82;50
76;RS Anna;Bekasi Selatan;2;8;15;1;13;11;5;28;-;-;21;31;33;9;2;35;17;14;76;240;240;370;210;53;71;310;49;62;36;72
77;RS Hermina Galaxy;Bekasi Selatan;2;4;22;4;4;12;3;21;1;1;1;12;17;8;-;22;73;19;56;0;230;230;350;200;50;61;29;48;60;34
78;RS Emc Pekayon;Bekasi Selatan;2;5;19;1;-;14;8;4;-;-;21;61;66;7;1;55;58;0;22;220;220;330;190;48;61;190;48;58;33;68
79;RS Dokter Adam Talib;Bekasi Utara;1;3;1;-;1;1;1;-;-;-;-;-;1;-;1;-;10;25;10;0;10;15;60;20;25;31;32;51;5;15
80;RS Anna Medika;Bekasi Utara;1;0;18;-;-;10;6;1;1;-;7;7;2;-;1;7;10;15;0;200;200;300;150;40;51;83;75;30;60;81
81;RS Taman Harapan Baru;Bekasi Barat;2;2;11;5;2;5;4;2;5;-;1;19;15;1;5;10;0;45;18;0;180;180;270;120;35;49;73;64;52;85
82;RS Primaya Bekasi Utara;Medan Satria;2;6;19;4;11;18;14;-;1;8;4;9;8;5;4;11;18;58;0;230;230;340;190;48;61;190;48;58;33;68
83;RS Seto Hasbadi;Bekasi Utara;1;1;8;-;-;3;5;10;-;-;2;2;2;2;2;5;38;0;15;0;150;150;220;90;28;37;52;53;24;48
84;RSIA Rinova Intan;Bantargebang;1;6;2;-;4;12;-;-;-;-;-;-;-;-;-;1;8;15;0;60;69;31;210;21;32;12;15;81;8;85
85;RSUD Teluk Pucung;Bekasi Utara;1;0;10;2;12;9;2;2;1;1;3;3;1;-;2;14;89;40;0;160;160;240;100;30;38;62;54;0;25;50
86;RSIA Selasih Medika;Mustikajaya;1;5;10;3;-;30;2;5;-;2;6;6;-;5;2;2;7;7;35;140;140;210;90;28;37;52;53;52;24;58
87;RS Ananda;Mustikajaya;2;8;20;6;-;19;5;35;1;7;4;18;41;9;7;11;27;60;0;240;240;360;200;50;61;290;48;60;34;70
88;RS Citra Harapan;Bekasi Selatan;1;6;8;4;2;4;3;8;-;16;6;14;8;3;-;49;45;0;18;0;180;180;270;120;35;49;73;64;52;88
89;RS Emhaka;Medan Satria;-;4;-;-;-;8;15;-;-;1;1;-;-;2;1;3;49;20;0;80;80;120;50;15;14;31;22;0;10;25
90;RSUD Bantargebang;Bekasi Selatan;1;1;10;5;-;5;13;6;2;4;9;9;2;1;3;35;103;48;0;190;190;290;130;38;41;0;83;74;8;48
91;RS Karya Medika Bantargeba;Bekasi Selatan;1;0;9;-;-;3;5;9;-;1;-;1;1;-;2;11;5;14;0;160;160;240;100;30;38;62;54;0;25;50
92;RS Permata Bekasi;Medan Satria;1;9;26;3;-;12;7;24;-;13;10;10;22;7;16;9;167;55;0;220;220;330;180;45;61;190;48;55;32;65
93;RS Satria Medika;Jatiasih;1;7;7;2;-;5;8;15;2;16;12;33;85;7;6;34;20;17;0;170;170;260;110;33;49;73;64;27;52;96
94;RS Mustika Medika Bekasi;Bantargebang;5;1;-;-;1;1;5;-;-;-;-;2;3;-;2;3;28;11;0;110;110;170;70;22;26;41;32;81;7;35
